description,category
Hotel Booking UPI 4088,TRAVEL
RedBus GPay txn 3086,TRANSPORT
HDFC Payroll POS 5256,INCOME
Grocery Market -promo,GROCERIES
Employer Inc Bangalore,INCOME
AWS Subscription GPay txn 7190,SUBSCRIPTIONS
Pharmeasy order 388,HEALTH
Reliance Fresh GPay txn 4463,GROCERIES
Yatra.com ACH 4911,TRAVEL
Doctor Visit IN,HEALTH
Paycheck Mumbai,INCOME
Sharekhan UPI 3167,INVESTMENT
HDFC Bank IN,BANKING
Indian Oil online,FUEL
Spotify ACH 298,ENTERTAINMENT
Bharat Petroleum order 493,FUEL
Rent Payment POS 5916,RENT
JioFiber NEFT 8889,UTILITIES
Motilal Oswal 9263.70 INR,INVESTMENT
Paycheck 8237.96,INCOME
Haldirams POS 1132,RESTAURANTS
Byju's #3932,EDUCATION
Ola Mumbai,TRANSPORT
Employer Inc GPay txn 4084,INCOME
Reliance Fuel order 8420,FUEL
Indian Coffee House #1050,RESTAURANTS
Barbeque Nation Mumbai,RESTAURANTS
PVR Cinemas UPI 2364,ENTERTAINMENT
Mahanagar Gas +tax 4129.56,UTILITIES
AWS Subscription +tax 8506.51,SUBSCRIPTIONS
YouTube Premium ACH 7668,SUBSCRIPTIONS
Unacademy #6883,EDUCATION
Angel One -promo,INVESTMENT
Cult.fit Bangalore,SUBSCRIPTIONS
India Oil GPay txn 4439,FUEL
Amazon.in NEFT 6790,SHOPPING
BWSSB Water NEFT 6248,UTILITIES
Salary Credit UPI 415,INCOME
IRCTC online,TRANSPORT
Zepto 5436.07 INR,GROCERIES
Salary Credit IN,INCOME
Apartment Dues order 953,RENT
Headspace Bangalore,SUBSCRIPTIONS
Hotel Booking 9590.15,TRAVEL
Reliance Fuel 4893.19,FUEL
Axis Bank UPI 1806,BANKING
UpGrad GPay txn 7747,EDUCATION
Rent Payment POS 8750,RENT
Apartment Dues +tax 5153.39,RENT
JioFiber online,UTILITIES
Myntr order 5055,SHOPPING
Mutual Fund -promo,INVESTMENT
Gaana GPay txn 7088,ENTERTAINMENT
Dropbox plan Mumbai,SUBSCRIPTIONS
Gaana +tax 5440.17,ENTERTAINMENT
BWSSB Water +tax 5862.34,UTILITIES
UpGrad online,EDUCATION
ICICI Payroll Bangalore,INCOME
Cafe Coffee Day IN,RESTAURANTS
Mahanagar Gas ACH 6437,UTILITIES
Pharmeasy -promo,HEALTH
Great Learning online,EDUCATION
Netflix -promo,ENTERTAINMENT
HPCL Fuel ACH 8880,FUEL
More Supermarket #4550,GROCERIES
HDFC Bank Bangalore,BANKING
Sharekhan Bangalore,INVESTMENT
Rapido -promo,TRANSPORT
Paycheck POS 5900,INCOME
Hotel Booking UPI 7831,TRAVEL
HPCL Fuel 5042.69 INR,FUEL
Landlord #5649,RENT
Doctor Visit UPI 9494,HEALTH
Indian Coffee House -promo,RESTAURANTS
Kotak Bank Mumbai,BANKING
Rent Payment online,RENT
HPCL Fuel GPay txn 2728,FUEL
Landlord UPI 2635,RENT
Disney+ Hotstar #8975,ENTERTAINMENT
Great Learning online,EDUCATION
HPCL Fuel -promo,FUEL
ICICI Bank UPI 3288,BANKING
Barbeque Nation ACH 8362,RESTAURANTS
PVR Cinemas GPay txn 7790,ENTERTAINMENT
MSEB Electricity 3191.26 INR,UTILITIES
Dropbox plan 6979.38,SUBSCRIPTIONS
Vistara NEFT 3051,TRAVEL
Rent Payment #1026,RENT
HPCL Fuel UPI 8815,FUEL
Vistara +tax 224.53,TRAVEL
Amazon India POS 5149,SHOPPING
Netflix IN,ENTERTAINMENT
BESCOM GPay txn 382,UTILITIES
YouTube Premium -promo,SUBSCRIPTIONS
HDFC Bank #7395,BANKING
Hotel Booking ACH 7191,TRAVEL
Hotel Booking Bangalore,TRAVEL
Rapido -promo,TRANSPORT
ICICI Bank GPay txn 2438,BANKING
SBI Bank Mumbai,BANKING
AWS Subscription 267.22 INR,SUBSCRIPTIONS
GoFirst Bangalore,TRAVEL
Nykaa NEFT 1504,SHOPPING
Netflix NEFT 2632,ENTERTAINMENT
Groww Mumbai,INVESTMENT
Haldirams UPI 2116,RESTAURANTS
Amazon Web Services Mumbai,SUBSCRIPTIONS
Amazon Prime Video Bangalore,ENTERTAINMENT
Canva Pro GPay txn 2056,SUBSCRIPTIONS
BWSSB Water online,UTILITIES
Air India 4092.39,TRAVEL
Employer Inc GPay txn 8445,INCOME
Grocery Market -promo,GROCERIES
Rapido online,TRANSPORT
Cult.fit POS 4924,SUBSCRIPTIONS
SBI Bank order 5305,BANKING
NestAway +tax 154.26,RENT
Kotak Bank -promo,BANKING
Employer Inc online,INCOME
Groww +tax 4627.97,INVESTMENT
Rapido +tax 6400.91,TRANSPORT
Grocery Market Mumbai,GROCERIES
Kotak Bank 5681.27,BANKING
BigBasket Mumbai,GROCERIES
Airtel Fiber Bangalore,UTILITIES
Doctor Visit 1174.33,HEALTH
Prime Music UPI 9440,ENTERTAINMENT
Angel One online,INVESTMENT
Apartment Dues order 9972,RENT
GoFirst Bangalore,TRAVEL
Amazon.in Mumbai,SHOPPING
ICICI Bank IN,BANKING
Apollo Clinic order 1533,HEALTH
Prime Music UPI 6918,ENTERTAINMENT
1mg Pharmacy IN,HEALTH
GoFirst Mumbai,TRAVEL
AWS Subscription Mumbai,SUBSCRIPTIONS
Salary Credit NEFT 9468,INCOME
Cafe Coffee Day GPay txn 3565,RESTAURANTS
Airport Taxi +tax 4895.30,TRANSPORT
Vistara online,TRAVEL
Vistara GPay txn 702,TRAVEL
Nykaa NEFT 4223,SHOPPING
Swiggy GPay txn 9563,RESTAURANTS
NestAway 6413.56 INR,RENT
Amazon Prime Video NEFT 5472,ENTERTAINMENT
Tanishq POS 1810,SHOPPING
Haldirams UPI 1708,RESTAURANTS
Angel One online,INVESTMENT
Disney+ Hotstar Bangalore,ENTERTAINMENT
Cafe Coffee Day online,RESTAURANTS
Flipkart Bangalore,SHOPPING
Axis Bank order 1049,BANKING
Reliance Fresh -promo,GROCERIES
Ola Mumbai,TRANSPORT
Salary Credit order 4098,INCOME
Netflix Mumbai,ENTERTAINMENT
Sony LIV 5337.12 INR,ENTERTAINMENT
College Fee POS 8959,EDUCATION
Flipkart POS 5797,SHOPPING
Amazon India IN,SHOPPING
MakeMyTrip #9609,TRAVEL
Reliance Fuel ACH 9425,FUEL
Employer Inc ACH 1018,INCOME
Mutual Fund 2268.99 INR,INVESTMENT
GoFirst -promo,TRAVEL
Axis Bank ACH 4578,BANKING
ICICI Bank Mumbai,BANKING
MakeMyTrip order 2357,TRAVEL
More Supermarket Mumbai,GROCERIES
SBI Bank +tax 733.28,BANKING
Salary Credit Bangalore,INCOME
HDFC Payroll Mumbai,INCOME
Cafe Coffee Day POS 3576,RESTAURANTS
India Oil Bangalore,FUEL
Airport Taxi Bangalore,TRANSPORT
MSEB Electricity Bangalore,UTILITIES
Blinkit order 2727,GROCERIES
NoBroker Rent GPay txn 1458,RENT
Coursera IN,EDUCATION
Netflix Bangalore,ENTERTAINMENT
Prime Music #2215,ENTERTAINMENT
ICICI Payroll 7656.49 INR,INCOME
ICICI Bank #1048,BANKING
Mutual Fund online,INVESTMENT
Unacademy GPay txn 1322,EDUCATION
More Supermarket Mumbai,GROCERIES
Airport Taxi GPay txn 8854,TRANSPORT
Myntra POS 3524,SHOPPING
Airtel Fiber order 1641,UTILITIES
Reliance Fuel online,FUEL
Uber GPay txn 8931,TRANSPORT
Paycheck order 6664,INCOME
ICICI Payroll GPay txn 9448,INCOME
NestAway GPay txn 7822,RENT
Doctor Visit GPay txn 566,HEALTH
NestAway POS 7893,RENT
Amazon Web Services order 5877,SUBSCRIPTIONS
ICICI Bank +tax 4773.72,BANKING
Swiggy Mumbai,RESTAURANTS
Dropbox plan 7987.63 INR,SUBSCRIPTIONS
Nykaa NEFT 3231,SHOPPING
Angel One NEFT 3947,INVESTMENT
Kotak Bank POS 9504,BANKING
Amazon Web Services ACH 3508,SUBSCRIPTIONS
YouTube Premium GPay txn 2354,SUBSCRIPTIONS
Tanishq #9622,SHOPPING
Zerodha online,INVESTMENT
IndiGo 8625.04 INR,TRAVEL
Indian Coffee House POS 9675,RESTAURANTS
Dominos 7312.85 INR,RESTAURANTS
Tanishq IN,SHOPPING
Kotak Bank GPay txn 3832,BANKING
Employer Inc NEFT 2561,INCOME
Rapido GPay txn 1777,TRANSPORT
Rent Payment GPay txn 1738,RENT
Yatra.com Bangalore,TRAVEL
JioFiber 5678.27,UTILITIES
PVR Cinemas +tax 1153.32,ENTERTAINMENT
Salary Credit ACH 3580,INCOME
Tanishq IN,SHOPPING
HDFC Payroll order 7437,INCOME
Zerodha Bangalore,INVESTMENT
Rent Payment IN,RENT
Coursera Bangalore,EDUCATION
Sony LIV +tax 7414.39,ENTERTAINMENT
Reliance Fuel GPay txn 309,FUEL
ICICI Payroll -promo,INCOME
Nature's Basket 8515.50 INR,GROCERIES
Motilal Oswal UPI 7120,INVESTMENT
ICICI Direct GPay txn 1747,INVESTMENT
AWS Subscription Mumbai,SUBSCRIPTIONS
RedBus 5283.77,TRANSPORT
Reliance Fuel -promo,FUEL
School Payment Mumbai,EDUCATION
IndiGo -promo,TRAVEL
Groww IN,INVESTMENT
Myntr +tax 1512.49,SHOPPING
Reliance Fuel GPay txn 9115,FUEL
Airport Taxi IN,TRANSPORT
Hotel Booking 3466.60,TRAVEL
GoFirst ACH 3674,TRAVEL
JioFiber +tax 2136.84,UTILITIES
Fortis Hospital 2620.87 INR,HEALTH
1mg Pharmacy UPI 8878,HEALTH
Salary Credit #6720,INCOME
Spotify Mumbai,ENTERTAINMENT
Landlord +tax 2741.76,RENT
More Supermarket +tax 3066.80,GROCERIES
Paycheck 8673.61,INCOME
Zomato Bangalore,RESTAURANTS
BESCOM Bangalore,UTILITIES
Salary Credit Bangalore,INCOME
Amazon Web Services NEFT 9126,SUBSCRIPTIONS
1mg Pharmacy UPI 8890,HEALTH
Paycheck IN,INCOME
School Payment #3475,EDUCATION
Kotak Bank +tax 6436.98,BANKING
YouTube Premium ACH 9107,SUBSCRIPTIONS
Blinkit +tax 4731.71,GROCERIES
RedBus 584.52,TRANSPORT
Dropbox plan 6376.18,SUBSCRIPTIONS
SIP Investment Mumbai,INVESTMENT
ICICI Direct online,INVESTMENT
Uber Bangalore,TRANSPORT
Uber POS 5464,TRANSPORT
1mg Pharmacy 5647.41,HEALTH
Airtel Fiber POS 3308,UTILITIES
Sharekhan #9113,INVESTMENT
Sharekhan GPay txn 2916,INVESTMENT
IndiGo -promo,TRAVEL
Reliance Fuel GPay txn 1251,FUEL
Ajio GPay txn 8811,SHOPPING
Nykaa -promo,SHOPPING
HDFC Payroll NEFT 762,INCOME
College Fee #7913,EDUCATION
Unacademy GPay txn 4909,EDUCATION
Apollo Clinic 5886.32 INR,HEALTH
Canva Pro 2976.09,SUBSCRIPTIONS
College Fee online,EDUCATION
Paycheck NEFT 360,INCOME
Kotak Bank order 1225,BANKING
Zepto App NEFT 3676,GROCERIES
MakeMyTrip Mumbai,TRAVEL
Kotak Bank Mumbai,BANKING
Canva Pro UPI 3345,SUBSCRIPTIONS
Headspace GPay txn 8834,SUBSCRIPTIONS
ICICI Payroll order 2823,INCOME
Apartment Dues 5136.22,RENT
Reliance Fuel -promo,FUEL
YouTube Premium POS 5517,SUBSCRIPTIONS
Indian Coffee House POS 5991,RESTAURANTS
School Payment #4858,EDUCATION
Pharmeasy order 4199,HEALTH
Nature's Basket order 106,GROCERIES
YouTube Premium IN,SUBSCRIPTIONS
India Oil NEFT 4851,FUEL
UpGrad #9891,EDUCATION
UpGrad Bangalore,EDUCATION
Nykaa ACH 1340,SHOPPING
Dropbox plan IN,SUBSCRIPTIONS
SBI Bank Bangalore,BANKING
OYO Rooms UPI 3007,TRAVEL
Angel One NEFT 3406,INVESTMENT
Bharat Petroleum 5506.96,FUEL
NoBroker Rent order 4454,RENT
Airtel Fiber #7361,UTILITIES
YouTube Premium -promo,SUBSCRIPTIONS
Ajio Bangalore,SHOPPING
JioFiber IN,UTILITIES
Landlord 9307.25 INR,RENT
Air India Bangalore,TRAVEL
Axis Bank +tax 8881.00,BANKING
Apartment Dues -promo,RENT
Zmt #3102,RESTAURANTS
Uber Bangalore,TRANSPORT
Indian Oil ACH 948,FUEL
Indian Coffee House UPI 433,RESTAURANTS
SBI Bank order 4910,BANKING
BWSSB Water NEFT 5257,UTILITIES
Rapido 4471.36,TRANSPORT
Zmt order 2248,RESTAURANTS
Bharat Petroleum online,FUEL
HPCL Fuel +tax 1114.09,FUEL
NoBroker Rent ACH 3106,RENT
Disney+ Hotstar GPay txn 6263,ENTERTAINMENT
Upstox NEFT 9064,INVESTMENT
Airport Taxi UPI 8143,TRANSPORT
Air India +tax 7074.09,TRAVEL
Amazon Prime Video GPay txn 5672,ENTERTAINMENT
Indian Oil UPI 9140,FUEL
Zomato ACH 2546,RESTAURANTS
NestAway UPI 9642,RENT
HDFC Payroll Mumbai,INCOME
Prime Music +tax 3098.32,ENTERTAINMENT
Air India Mumbai,TRAVEL
School Payment ACH 3800,EDUCATION
SBI Bank IN,BANKING
Pharmeasy #5933,HEALTH
Netflix UPI 9995,ENTERTAINMENT
Headspace GPay txn 3301,SUBSCRIPTIONS
Rent Payment -promo,RENT
Swiggy Bangalore,RESTAURANTS
PVR Cinemas online,ENTERTAINMENT
Dominos online,RESTAURANTS
1mg Pharmacy IN,HEALTH
Employer Inc online,INCOME
Landlord Bangalore,RENT
Zerodha order 2027,INVESTMENT
Spotify 7504.48,ENTERTAINMENT
Motilal Oswal 3672.59,INVESTMENT
Indian Coffee House 1757.91 INR,RESTAURANTS
College Fee #7973,EDUCATION
Ajio +tax 1754.50,SHOPPING
Indian Coffee House order 6124,RESTAURANTS
IRCTC #6217,TRANSPORT
Sony LIV order 5664,ENTERTAINMENT
Rapido Mumbai,TRANSPORT
Dominos NEFT 8003,RESTAURANTS
BookMyShow Bangalore,ENTERTAINMENT
Swiggy 4377.36,RESTAURANTS
Indian Oil +tax 4966.96,FUEL
Bharat Petroleum online,FUEL
Hotel Booking IN,TRAVEL
Doctor Visit #8910,HEALTH
Amzn India ACH 2284,SHOPPING
Air India online,TRAVEL
Groww POS 7803,INVESTMENT
NoBroker Rent Mumbai,RENT
Zmt NEFT 7410,RESTAURANTS
Haldirams IN,RESTAURANTS
Headspace Bangalore,SUBSCRIPTIONS
Salary Credit +tax 7595.67,INCOME
Indian Coffee House GPay txn 6832,RESTAURANTS
Tanishq order 4362,SHOPPING
Mahanagar Gas POS 3654,UTILITIES
BookMyShow Mumbai,ENTERTAINMENT
Airtel Fiber 9940.63,UTILITIES
BWSSB Water IN,UTILITIES
Prime Music order 6878,ENTERTAINMENT
Blinkit ACH 4405,GROCERIES
Apollo Clinic -promo,HEALTH
Zomato Bangalore,RESTAURANTS
Mahanagar Gas #2635,UTILITIES
Byju's 311.37 INR,EDUCATION
MakeMyTrip +tax 1896.38,TRAVEL
Blinkit NEFT 7478,GROCERIES
Myntra.com -promo,SHOPPING
Unacademy IN,EDUCATION
Axis Bank #7439,BANKING
Groww #6350,INVESTMENT
NoBroker Rent 766.48 INR,RENT
Amazon India 7886.78 INR,SHOPPING
Bharat Petroleum #1067,FUEL
Apartment Dues GPay txn 9129,RENT
UpGrad 4095.16,EDUCATION
Rapido #2212,TRANSPORT
Doctor Visit -promo,HEALTH
Vistara POS 1488,TRAVEL
OYO Rooms +tax 857.10,TRAVEL
Airport Taxi Bangalore,TRANSPORT
Zepto +tax 1273.67,GROCERIES
Axis Bank GPay txn 8890,BANKING
Headspace UPI 4735,SUBSCRIPTIONS
Apartment Dues GPay txn 2169,RENT
Prime Music ACH 110,ENTERTAINMENT
1mg Pharmacy NEFT 9011,HEALTH
Upstox Mumbai,INVESTMENT
Yatra.com 972.21 INR,TRAVEL
Groww IN,INVESTMENT
HDFC Bank UPI 7921,BANKING
College Fee IN,EDUCATION
GoFirst order 5179,TRAVEL
Ajio 664.84 INR,SHOPPING
NoBroker Rent ACH 4583,RENT
PVR Cinemas order 4518,ENTERTAINMENT
Ajio order 3055,SHOPPING
Reliance Fresh 3468.28 INR,GROCERIES
MakeMyTrip POS 8022,TRAVEL
OYO Rooms +tax 9687.68,TRAVEL
School Payment #6326,EDUCATION
Canva Pro Mumbai,SUBSCRIPTIONS
Tanishq UPI 4581,SHOPPING
Sharekhan NEFT 2780,INVESTMENT
MSEB Electricity ACH 3839,UTILITIES
HDFC Payroll -promo,INCOME
BWSSB Water -promo,UTILITIES
Nature's Basket NEFT 7848,GROCERIES
Byju's 2009.49,EDUCATION
Hotel Booking GPay txn 9638,TRAVEL
Doctor Visit NEFT 2478,HEALTH
GoFirst POS 3787,TRAVEL
NestAway #621,RENT
Yatra.com online,TRAVEL
Rent Payment +tax 9542.84,RENT
YouTube Premium +tax 6418.39,SUBSCRIPTIONS
Reliance Fuel -promo,FUEL
Bharat Petroleum UPI 7664,FUEL
NestAway POS 5428,RENT
More Supermarket #6521,GROCERIES
Dropbox plan ACH 4396,SUBSCRIPTIONS
ICICI Bank NEFT 6016,BANKING
Upstox +tax 4091.75,INVESTMENT
UpGrad online,EDUCATION
Employer Inc order 7065,INCOME
BookMyShow Mumbai,ENTERTAINMENT
Upstox #1513,INVESTMENT
Reliance Fuel +tax 4506.03,FUEL
Kotak Bank Mumbai,BANKING
BigBasket order 7495,GROCERIES
Canva Pro order 1031,SUBSCRIPTIONS
Ola Bangalore,TRANSPORT
NoBroker Rent 72.45,RENT
HDFC Payroll 6261.56 INR,INCOME
Uber GPay txn 6124,TRANSPORT
Rent Payment -promo,RENT
PVR Cinemas 6977.57,ENTERTAINMENT
Cult.fit ACH 8372,SUBSCRIPTIONS
Pharmeasy 1487.28 INR,HEALTH
Salary Credit IN,INCOME
Apartment Dues POS 6363,RENT
Doctor Visit 9260.45 INR,HEALTH
Airport Taxi NEFT 8451,TRANSPORT
UpGrad 3151.09,EDUCATION
Apartment Dues Mumbai,RENT
IRCTC 8856.84,TRANSPORT
Ajio POS 359,SHOPPING
Apartment Dues ACH 4907,RENT
PVR Cinemas Bangalore,ENTERTAINMENT
NestAway IN,RENT
Flipkart GPay txn 5767,SHOPPING
Hotel Booking POS 1206,TRAVEL
Fortis Hospital order 8941,HEALTH
Mutual Fund NEFT 3509,INVESTMENT
Grocery Market Bangalore,GROCERIES
Angel One online,INVESTMENT
Rent Payment #7861,RENT
Apollo Clinic NEFT 7385,HEALTH
Indian Oil IN,FUEL
Swiggy 4167.68,RESTAURANTS
IndiGo NEFT 7952,TRAVEL
Headspace online,SUBSCRIPTIONS
Reliance Fresh Mumbai,GROCERIES
Cafe Coffee Day ACH 2683,RESTAURANTS
Byju's ACH 2754,EDUCATION
Employer Inc Mumbai,INCOME
Paycheck Mumbai,INCOME
Cafe Coffee Day -promo,RESTAURANTS
IndiGo online,TRAVEL
1mg Pharmacy #8205,HEALTH
Coursera -promo,EDUCATION
OYO Rooms UPI 7178,TRAVEL
BWSSB Water IN,UTILITIES
School Payment GPay txn 8639,EDUCATION
YouTube Premium UPI 5757,SUBSCRIPTIONS
Prime Music -promo,ENTERTAINMENT
HPCL Fuel ACH 5152,FUEL
1mg Pharmacy #7669,HEALTH
Prime Music Bangalore,ENTERTAINMENT
Prime Music 309.89 INR,ENTERTAINMENT
Apollo Clinic UPI 3588,HEALTH
Sony LIV order 3477,ENTERTAINMENT
ICICI Payroll Bangalore,INCOME
NoBroker Rent online,RENT
YouTube Premium +tax 5532.16,SUBSCRIPTIONS
Grocery Market UPI 9062,GROCERIES
NoBroker Rent -promo,RENT
Grocery Market Mumbai,GROCERIES
Airtel Fiber 2391.79,UTILITIES
Haldirams 3412.97 INR,RESTAURANTS
Groww #6066,INVESTMENT
MakeMyTrip Mumbai,TRAVEL
SBI Bank #8892,BANKING
Mahanagar Gas Mumbai,UTILITIES
Apollo Clinic Bangalore,HEALTH
Croma order 4762,SHOPPING
NestAway NEFT 4978,RENT
HDFC Bank 9937.90,BANKING
HPCL Fuel NEFT 7825,FUEL
Reliance Fuel #7354,FUEL
ICICI Bank IN,BANKING
Rapido +tax 7594.41,TRANSPORT
Croma 9021.08 INR,SHOPPING
ICICI Payroll GPay txn 9281,INCOME
Amazon India Bangalore,SHOPPING
Croma 7451.82 INR,SHOPPING
Air India +tax 4292.67,TRAVEL
Rapido #6706,TRANSPORT
BigBasket NEFT 9302,GROCERIES
RedBus online,TRANSPORT
Vistara UPI 7262,TRAVEL
Reliance Fuel Mumbai,FUEL
Doctor Visit +tax 7727.60,HEALTH
Vistara GPay txn 1207,TRAVEL
ICICI Direct ACH 6390,INVESTMENT
Prime Music 6766.85 INR,ENTERTAINMENT
NestAway #9887,RENT
Groww NEFT 3057,INVESTMENT
JioFiber Mumbai,UTILITIES
BigBasket Bangalore,GROCERIES
BESCOM NEFT 6300,UTILITIES
Zepto -promo,GROCERIES
Angel One ACH 3443,INVESTMENT
BESCOM Bangalore,UTILITIES
NoBroker Rent GPay txn 5667,RENT
Hotel Booking NEFT 1740,TRAVEL
PVR Cinemas IN,ENTERTAINMENT
Employer Inc IN,INCOME
Ajio IN,SHOPPING
AWS Subscription IN,SUBSCRIPTIONS
SBI Bank online,BANKING
Udemy order 873,EDUCATION
Croma -promo,SHOPPING
Ola GPay txn 1060,TRANSPORT
Dominos ACH 9213,RESTAURANTS
More Supermarket +tax 9695.68,GROCERIES
HPCL Fuel online,FUEL
Rent Payment #4555,RENT
Airport Taxi UPI 7674,TRANSPORT
Zerodha #6861,INVESTMENT
Barbeque Nation 4712.84,RESTAURANTS
Indian Oil #7171,FUEL
Grocery Market Bangalore,GROCERIES
Landlord 4008.86,RENT
Zmt POS 1955,RESTAURANTS
BWSSB Water NEFT 3000,UTILITIES
Netflix order 8449,ENTERTAINMENT
Pharmeasy -promo,HEALTH
AWS Subscription Bangalore,SUBSCRIPTIONS
Reliance Fresh POS 9737,GROCERIES
GoFirst 5267.22 INR,TRAVEL
Reliance Fuel ACH 661,FUEL
SBI Bank UPI 713,BANKING
Employer Inc +tax 4697.26,INCOME
Haldirams +tax 1018.10,RESTAURANTS
Doctor Visit GPay txn 3725,HEALTH
Fortis Hospital Bangalore,HEALTH
ICICI Bank ACH 3669,BANKING
Mahanagar Gas +tax 1050.74,UTILITIES
Myntra Bangalore,SHOPPING
Airport Taxi Mumbai,TRANSPORT
Haldirams NEFT 8004,RESTAURANTS
Cafe Coffee Day order 1343,RESTAURANTS
Hotel Booking order 8023,TRAVEL
Indian Oil UPI 8968,FUEL
ICICI Direct Mumbai,INVESTMENT
Zepto 8215.58 INR,GROCERIES
Headspace Bangalore,SUBSCRIPTIONS
HPCL Fuel ACH 4801,FUEL
Employer Inc order 7922,INCOME
Bharat Petroleum Bangalore,FUEL
More Supermarket GPay txn 103,GROCERIES
Indian Oil #1129,FUEL
Nykaa Mumbai,SHOPPING
Groww order 3890,INVESTMENT
Grocery Market 3608.57,GROCERIES
Nykaa IN,SHOPPING
NestAway POS 2772,RENT
BookMyShow #4469,ENTERTAINMENT
HDFC Securities 7783.03 INR,INVESTMENT
ICICI Direct ACH 7745,INVESTMENT
HPCL Fuel 7930.86 INR,FUEL
Vistara UPI 3826,TRAVEL
ICICI Bank ACH 5896,BANKING
Unacademy -promo,EDUCATION
Great Learning ACH 792,EDUCATION
Dropbox plan 3453.96 INR,SUBSCRIPTIONS
India Oil Mumbai,FUEL
Zepto 8514.68 INR,GROCERIES
Ajio +tax 393.11,SHOPPING
Mahanagar Gas Bangalore,UTILITIES
Cafe Coffee Day UPI 5167,RESTAURANTS
HPCL Fuel NEFT 4298,FUEL
Myntra.com NEFT 1170,SHOPPING
HDFC Bank Mumbai,BANKING
Mahanagar Gas -promo,UTILITIES
BESCOM -promo,UTILITIES
Flipkart ACH 4168,SHOPPING
Myntra.com Bangalore,SHOPPING
SBI Bank order 3071,BANKING
ICICI Payroll ACH 7442,INCOME
Apollo Clinic #6074,HEALTH
Angel One IN,INVESTMENT
Blinkit Mumbai,GROCERIES
YouTube Premium UPI 9523,SUBSCRIPTIONS
Myntr Bangalore,SHOPPING
Paycheck +tax 8564.36,INCOME
Croma ACH 7783,SHOPPING
Dominos -promo,RESTAURANTS
YouTube Premium UPI 2727,SUBSCRIPTIONS
IRCTC POS 2681,TRANSPORT
BigBasket 7245.47,GROCERIES
Coursera -promo,EDUCATION
Headspace ACH 3766,SUBSCRIPTIONS
Sharekhan -promo,INVESTMENT
Barbeque Nation #2417,RESTAURANTS
OYO Rooms GPay txn 857,TRAVEL
Zerodha -promo,INVESTMENT
Indian Oil -promo,FUEL
Paycheck +tax 6715.93,INCOME
HPCL Fuel 5311.25,FUEL
SIP Investment ACH 8100,INVESTMENT
HPCL Fuel +tax 3772.87,FUEL
BWSSB Water POS 9063,UTILITIES
Angel One 8505.47,INVESTMENT
Salary Credit POS 5277,INCOME
Indian Coffee House ACH 8434,RESTAURANTS
Cult.fit 661.06 INR,SUBSCRIPTIONS
Swiggy NEFT 8153,RESTAURANTS
Barbeque Nation online,RESTAURANTS
Airport Taxi IN,TRANSPORT
Netflix order 5930,ENTERTAINMENT
AWS Subscription +tax 1979.21,SUBSCRIPTIONS
Uber -promo,TRANSPORT
Nature's Basket Bangalore,GROCERIES
Amazon Web Services Bangalore,SUBSCRIPTIONS
NoBroker Rent order 5845,RENT
Air India +tax 1590.29,TRAVEL
JioFiber online,UTILITIES
Reliance Fuel online,FUEL
BigBasket online,GROCERIES
Axis Bank -promo,BANKING
Nykaa Mumbai,SHOPPING
BookMyShow #175,ENTERTAINMENT
Nykaa POS 6929,SHOPPING
Dominos IN,RESTAURANTS
IndiGo UPI 4610,TRAVEL
Reliance Fuel order 731,FUEL
NoBroker Rent UPI 5082,RENT
Doctor Visit IN,HEALTH
Unacademy #2581,EDUCATION
Upstox POS 1797,INVESTMENT
Bharat Petroleum online,FUEL
Doctor Visit 198.30,HEALTH
Udemy POS 4842,EDUCATION
SIP Investment 1801.40,INVESTMENT
Blinkit #6293,GROCERIES
Doctor Visit POS 1164,HEALTH
Amazon India IN,SHOPPING
Reliance Fresh order 515,GROCERIES
Apartment Dues #7387,RENT
NoBroker Rent 5302.91 INR,RENT
Employer Inc -promo,INCOME
HDFC Securities 6261.60,INVESTMENT
Bharat Petroleum +tax 4079.25,FUEL
NestAway 6424.84 INR,RENT
HDFC Payroll Bangalore,INCOME
Zmt ACH 8161,RESTAURANTS
NoBroker Rent online,RENT
Pharmeasy online,HEALTH
Indian Oil Bangalore,FUEL
Kotak Bank order 6162,BANKING
Zomato NEFT 1233,RESTAURANTS
Amazon India IN,SHOPPING
Apartment Dues IN,RENT
RedBus Bangalore,TRANSPORT
Mahanagar Gas POS 2100,UTILITIES
NoBroker Rent 7466.22 INR,RENT
Zomato POS 5913,RESTAURANTS
Kotak Bank -promo,BANKING
Paycheck POS 4676,INCOME
Myntra 467.51 INR,SHOPPING
Yatra.com GPay txn 4881,TRAVEL
HDFC 1185.20 INR,BANKING
YouTube Premium 5996.95,SUBSCRIPTIONS
IRCTC GPay txn 5332,TRANSPORT
Croma POS 1419,SHOPPING
Rapido online,TRANSPORT
Rapido online,TRANSPORT
Croma -promo,SHOPPING
Zomato GPay txn 562,RESTAURANTS
JioFiber NEFT 8823,UTILITIES
Bharat Petroleum NEFT 5175,FUEL
Bharat Petroleum NEFT 8138,FUEL
NoBroker Rent -promo,RENT
SBI Bank +tax 1537.37,BANKING
Blinkit POS 2856,GROCERIES
1mg Pharmacy 5999.64,HEALTH
Flip cart IN,SHOPPING
Croma +tax 3906.39,SHOPPING
IRCTC 2712.38,TRANSPORT
SIP Investment Mumbai,INVESTMENT
Byju's online,EDUCATION
Canva Pro Mumbai,SUBSCRIPTIONS
Blinkit 71.79 INR,GROCERIES
